"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\ScrollWriting\Stroke.cs", "C#", 186, 17, 38, 241
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\Title\TitleOptionsController.cs", "C#", 27, 1, 2, 30
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\Utility\AudioUtility.cs", "C#", 28, 1, 4, 33
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\Utility\BlackFade.cs", "C#", 32, 0, 4, 36
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\Utility\CanvasController.cs", "C#", 36, 2, 6, 44
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\Utility\CharacterStorage.cs", "C#", 14, 0, 1, 15
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\Utility\Clickable.cs", "C#", 5, 0, 1, 6
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\Utility\DebugStuff.cs", "C#", 13, 20, 9, 42
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\Utility\DownButton.cs", "C#", 13, 0, 2, 15
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\Utility\MaterialSetter.cs", "C#", 15, 0, 4, 19
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\Utility\MyInput.cs", "C#", 39, 0, 4, 43
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\Utility\PopupText.cs", "C#", 39, 2, 11, 52
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\Utility\Prefabs.cs", "C#", 9, 0, 1, 10
"c:\Users\joshu\UntitledScrollGame\Assets\Scripts\Utility\Utility.cs", "C#", 14, 0, 4, 18
"Total", "-", 2339, 114, 384, 2837
